,SEASON,PLAYER_NAME,PLAYER_ID,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,GP,MIN,NET_RATING,PIE,PACE,PTS,TS_PCT,FGA_PG,FGM,FGA,FG_PCT,FGM_PG,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,AST,AST_PCT,AST_TO,AST_RATIO,REB,OREB_PCT,DREB_PCT,REB_PCT,D_FGM,D_FGA,D_FG_PCT,USG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,TM_TOV_PCT
0,2013-14,Kevin Garnett,708,83.0,253,54,20.5,0,0.122,92.33,352,0.467,6.6,151,339,0.445,2.9,0.445,0.991,151,336,0.449,0.009,0,3,0.0,82,0.13,1.19,15.5,358,0.066,0.314,0.192,176,390,0.451,0.194,0.472,-0.02,13.1
1,2013-14,Ray Allen,951,77.0,205,73,26.5,1,0.091,92.33,701,0.59,7.4,240,534,0.449,3.3,0.558,0.421,124,225,0.551,0.579,116,309,0.375,143,0.117,1.7,17.4,205,0.015,0.118,0.067,279,550,0.507,0.168,0.441,0.066,10.2
2,2013-14,Steve Nash,959,75.0,178,15,20.8,0,0.09,103.54,102,0.488,6.3,36,90,0.4,2.4,0.444,0.733,28,66,0.424,0.267,8,24,0.333,86,0.428,2.77,38.8,29,0.012,0.086,0.047,46,91,0.505,0.186,0.44,0.066,14.0
3,2013-14,Derek Fisher,965,73.0,210,81,17.6,1,0.063,96.79,425,0.542,4.5,141,354,0.398,1.7,0.523,0.362,53,128,0.414,0.638,88,226,0.389,117,0.12,2.39,21.0,122,0.01,0.088,0.05,187,405,0.462,0.139,0.435,0.027,8.8
4,2013-14,Kobe Bryant,977,78.0,205,6,29.5,0,0.097,97.62,83,0.505,12.2,31,68,0.456,5.2,0.478,0.765,28,52,0.538,0.235,3,16,0.188,38,0.369,1.12,24.6,26,0.013,0.144,0.082,21,59,0.356,0.293,0.459,-0.103,22.0
5,2013-14,Jermaine O'Neal,979,83.0,255,44,20.1,1,0.1,96.59,349,0.57,5.6,122,221,0.552,2.8,0.552,1.0,122,221,0.552,0.0,0,0,,25,0.045,0.48,6.5,242,0.111,0.187,0.151,162,386,0.42,0.184,0.479,-0.059,13.6
6,2013-14,Tim Duncan,1495,83.0,250,74,29.2,1,0.154,96.39,1119,0.535,12.2,444,839,0.529,6.0,0.529,0.994,444,834,0.532,0.006,0,5,0.0,220,0.159,1.38,15.4,721,0.086,0.282,0.188,435,969,0.449,0.254,0.48,-0.031,11.2
7,2013-14,Chauncey Billups,1497,75.0,210,19,16.3,0,0.04,96.03,72,0.427,4.2,24,77,0.312,1.3,0.403,0.39,10,30,0.333,0.61,14,47,0.298,42,0.196,1.68,27.8,28,0.014,0.098,0.052,36,72,0.5,0.153,0.442,0.058,16.5
8,2013-14,Stephen Jackson,1536,80.0,220,9,11.9,1,-0.011,97.08,15,0.27,2.9,6,26,0.231,0.7,0.25,0.462,5,12,0.417,0.538,1,14,0.071,5,0.071,0.83,12.9,10,0.023,0.099,0.059,11,28,0.393,0.142,0.453,-0.061,15.5
9,2013-14,Antawn Jamison,1712,81.0,235,22,11.3,1,0.064,97.58,84,0.408,4.2,29,89,0.326,1.3,0.371,0.551,21,49,0.429,0.449,8,40,0.2,7,0.047,1.0,6.0,55,0.038,0.204,0.12,50,101,0.495,0.203,0.457,0.038,6.0
10,2013-14,Vince Carter,1713,78.0,220,81,24.4,1,0.098,95.89,967,0.539,10.0,330,787,0.419,4.1,0.512,0.53,184,417,0.441,0.47,146,370,0.395,212,0.17,1.96,17.4,284,0.038,0.125,0.081,279,654,0.427,0.229,0.451,-0.024,8.9
11,2013-14,Dirk Nowitzki,1717,84.0,245,80,32.9,1,0.161,95.16,1735,0.603,15.9,633,1253,0.505,7.9,0.557,0.738,502,925,0.543,0.262,131,328,0.399,216,0.14,1.85,12.2,498,0.018,0.203,0.111,474,1011,0.469,0.268,0.468,0.0,6.6
12,2013-14,Paul Pierce,1718,79.0,235,75,28.0,1,0.12,93.76,1010,0.595,9.5,313,660,0.474,4.3,0.558,0.555,203,366,0.555,0.445,110,294,0.374,178,0.146,1.16,15.1,348,0.015,0.185,0.101,332,711,0.467,0.226,0.458,0.009,13.0
13,2013-14,Al Harrington,1733,81.0,245,34,15.0,1,0.061,95.0,225,0.506,6.1,79,190,0.416,2.4,0.5,0.5,47,95,0.495,0.5,32,95,0.337,28,0.089,0.82,9.8,80,0.036,0.157,0.096,69,152,0.454,0.228,0.457,-0.003,12.0
14,2013-14,Nazr Mohammed,1737,82.0,250,80,7.0,0,0.081,90.16,124,0.445,1.6,54,118,0.458,0.7,0.458,1.0,54,118,0.458,0.0,0,0,,20,0.066,0.54,10.2,175,0.136,0.21,0.174,93,215,0.433,0.148,0.465,-0.032,18.9
15,2013-14,Rashard Lewis,1740,82.0,235,60,16.2,1,0.064,91.9,268,0.535,3.9,98,230,0.426,1.6,0.526,0.426,52,98,0.531,0.574,46,132,0.348,57,0.088,1.63,16.6,110,0.033,0.108,0.072,196,419,0.468,0.143,0.447,0.02,10.2
16,2013-14,Elton Brand,1882,81.0,254,73,19.4,0,0.088,96.67,419,0.561,4.5,176,315,0.559,2.5,0.559,0.994,176,313,0.562,0.006,0,2,0.0,74,0.081,1.23,14.6,361,0.085,0.218,0.154,281,581,0.484,0.142,0.466,0.017,11.8
17,2013-14,Andre Miller,1889,74.0,200,58,16.9,1,0.118,93.85,283,0.534,4.0,103,204,0.505,1.8,0.532,0.902,92,184,0.5,0.098,11,20,0.55,197,0.307,3.23,37.7,130,0.034,0.113,0.075,114,275,0.415,0.152,0.428,-0.013,11.7
18,2013-14,Shawn Marion,1890,79.0,228,76,31.7,0,0.093,96.1,791,0.537,9.3,340,678,0.501,4.5,0.544,0.764,282,518,0.544,0.236,58,160,0.363,124,0.076,1.31,13.0,497,0.064,0.169,0.118,347,805,0.431,0.158,0.459,-0.028,9.9
